GeneA,GeneB,Direction,Sign
YDR477W,YIL075C,1,0
YDL028C,YIL149C,1,0
YAL017W,YMR184W,1,0
YHR135C,YGL091C,1,0
YJR059W,YMR068W,1,0
YJL164C,YHR117W,1,0
YHR135C,YDR293C,1,0
YJL164C,YML045WA,1,0
YJL187C,YNL206C,1,0
YKL171W,YDL153C,1,0
YLR096W,YKR090W,1,0
YHR082C,YER098W,1,0
YHR082C,YDL025C,1,0
YNL307C,YLR258W,1,0
YOR351C,YLR263W,1,0
YJL106W,YHL024W,1,0
YHR082C,YMR281W,1,0
YHR135C,YIR003W,1,0
YER171W,YDL140C,1,0
YGL180W,YGL105W,1,0
YFR014C,YGL184C,1,0
YPL031C,YJL146W,1,0
YGR092W,YIL135C,1,0
YPL042C,YPL246C,1,0
YBR160W,YAL020C,1,0
YFL033C,YFL033C,1,0
YJR059W,YLL038C,1,0
YHR082C,YKL168C,1,0
YGL179C,YNL293W,1,0
YLR248W,YNR047W,1,0
YGR040W,YLR324W,1,0
YGL180W,YKR048C,1,0
YKL101W,YMR165C,1,0
YHR082C,YKL197C,1,0
YPL031C,YBR173C,1,0
YGR040W,YDL153C,1,0
YGL158W,YOR362C,1,0
YJL095W,YDL223C,1,0
YBR160W,YJL084C,1,0
YJL164C,YOR083W,1,0
YDR247W,YJR130C,1,0
YJL164C,YGR130C,1,0
YJL164C,YOL018C,1,0
YPL042C,YKL043W,1,0
YGL180W,YDR161W,1,0
YGL180W,YJR019C,1,0
YFR014C,YGR159C,1,0
YFR014C,YJL084C,1,0
YLR113W,YBL103C,1,0
YGL158W,YAL068C,1,0
YDR477W,YGL073W,1,0
YPL141C,YJR105W,1,0
YKL166C,YDR068W,1,0
YBR136W,YNL312W,1,0
YBR160W,YPR030W,1,0
YHR079C,YAL028W,1,0
YGL180W,YBL024W,1,0
YCR073C,YAR019C,1,0
YGR092W,YJR060W,1,0
YOL113W,YNL284CA,1,0
YKL048C,YCL024W,1,0
YMR216C,YFR010W,1,0
YBR160W,YMR005W,1,0
YGR040W,YGL136C,1,0
YBR059C,YOR239W,1,0
YNL307C,YNR006W,1,0
YJL187C,YPR024W,1,0
YHR079C,YDR293C,1,0
YNL154C,YKL168C,1,0
YBL016W,YEL032W,1,0
YPR120C,YLR079W,1,0
YNL154C,YKR079C,1,0
YFR014C,YPR035W,1,0
YMR216C,YNL173C,1,0
YBR160W,YML083C,1,0
YHR082C,YPL104W,1,0
YGR092W,YBL106C,1,0
YPL031C,YPL106C,1,0
YNL161W,YNL272C,1,0
YHR135C,YFL054C,1,0
YDR477W,YLL027W,1,0
YBR160W,YAL031C,1,0
YOL113W,YNL272C,1,0
YJL164C,YPR185W,1,0
YPL026C,YHR056C,1,0
YFR014C,YIL053W,1,0
YNL154C,YOL103WA,1,0
YFR014C,YGL073W,1,0
YHR135C,YFR038W,1,0
YBR136W,YAR007C,1,0
YJL164C,YDL070W,1,0
YNL154C,YIL072W,1,0
YHR082C,YDL153C,1,0
YJL187C,YGR017W,1,0
YNL154C,YOR141C,1,0
YGL179C,YNL186W,1,0
YBR160W,YBR038W,1,0
YBR160W,YLR455W,1,0
YIL095W,YIL053W,1,0
YKL203C,YMR028W,1,0
YIL035C,YKR041W,1,0
YBR136W,YIL072W,1,0
YJL164C,YOR288C,1,0
YPL031C,YDR170WA,1,0
YKL166C,YDR443C,1,0
YGL158W,YIL078W,1,0
YHR082C,YAL013W,1,0
YHR082C,YBR086C,1,0
YKL171W,YMR053C,1,0
YGL158W,YMR239C,1,0
YOR233W,YBR162C,1,0
YBR160W,YNL272C,1,0
YKL166C,YDR425W,1,0
YMR001C,YBL084C,1,0
YJL164C,YLR098C,1,0
YJL095W,YNL054WA,1,0
