Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta0.50_mu0.040_omega2.0_seed122815_optimalForest.sif	44	2	42	1596	0	0.000000
prizes_beta0.50_mu0.005_omega7.5_seed122815_optimalForest.sif	128	5	123	1596	0	0.000000
prizes_beta0.50_mu0.000_omega3.0_seed122815_optimalForest.sif	140	5	135	1596	0	0.000000
prizes_beta0.25_mu0.065_omega5.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.095_omega5.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.095_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.010_omega4.5_seed122815_optimalForest.sif	113	3	110	1596	0	0.000000
prizes_beta0.50_mu0.015_omega5.0_seed122815_optimalForest.sif	108	3	105	1596	0	0.000000
prizes_beta0.50_mu0.025_omega1.0_seed122815_optimalForest.sif	96	2	94	1596	0	0.000000
prizes_beta0.25_mu0.005_omega7.5_seed122815_optimalForest.sif	36	2	34	1596	0	0.000000
prizes_beta0.25_mu0.005_omega7.0_seed122815_optimalForest.sif	35	2	33	1596	0	0.000000
prizes_beta0.25_mu0.065_omega5.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.015_omega2.0_seed122815_optimalForest.sif	108	3	105	1596	0	0.000000
prizes_beta0.50_mu0.030_omega1.5_seed122815_optimalForest.sif	70	2	68	1596	0	0.000000
prizes_beta0.25_mu0.065_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.055_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.50_mu0.070_omega0.5_seed122815_optimalForest.sif	13	0	13	1596	0	0.000000
prizes_beta0.25_mu0.005_omega2.5_seed122815_optimalForest.sif	36	2	34	1596	0	0.000000
