Edge	Weight	FractionOfOptimalForestsContaining
YBR160W (pd) YLR187W	0.5	1.0
YBR160W (pd) YLR190W	0.5	1.0
YBR160W (pd) YLR219W	0.5	1.0
YBR160W (pd) YLR223C	0.5	1.0
YBR160W (pd) YLR278C	0.5	1.0
YBR160W (pd) YLR314C	0.5	1.0
YBR160W (pd) YLR319C	0.5	1.0
YBR160W (pd) YLR425W	0.5	1.0
YBR160W (pd) YLR455W	0.5	1.0
YBR160W (pd) YLR457C	0.5	1.0
YBR160W (pd) YML027W	0.5	1.0
YBR160W (pd) YML034W	0.5	1.0
YBR160W (pd) YML119W	0.5	1.0
YBR160W (pd) YMR001C	0.5	1.0
YBR160W (pd) YMR005W	0.5	1.0
YBR160W (pd) YMR032W	0.5	0.0
YBR160W (pd) YMR036C	0.5	1.0
YBR160W (pd) YMR129W	0.5	1.0
YBR160W (pd) YMR155W	0.5	1.0
YBR160W (pd) YMR165C	0.5	0.0
YBR160W (pd) YMR273C	0.5	1.0
YBR160W (pd) YMR291W	0.5	1.0
YBR160W (pd) YNL042W	0.5	1.0
YBR160W (pd) YNL058C	0.5	1.0
YBR160W (pd) YNL068C	0.5	0.0
YBR160W (pd) YNL102W	0.5	0.0
YBR160W (pd) YNL152W	0.5	1.0
YBR160W (pd) YNL233W	0.5	1.0
YBR160W (pd) YNL271C	0.5	1.0
YBR160W (pd) YNL272C	0.5	0.0
YBR160W (pd) YNL278W	0.5	1.0
YBR160W (pd) YNL309W	0.5	1.0
YBR160W (pd) YNL321W	0.5	1.0
YBR160W (pd) YNR047W	0.5	1.0
YBR160W (pd) YOL036W	0.5	1.0
YBR160W (pd) YOL070C	0.5	1.0
YBR160W (pd) YOL100W	0.5	1.0
YBR160W (pd) YOR001W	0.5	1.0
YBR160W (pd) YOR014W	0.5	1.0
YBR160W (pd) YOR058C	0.5	0.0
YBR160W (pd) YOR081C	0.5	1.0
YBR160W (pd) YOR083W	0.5	1.0
YBR160W (pd) YOR104W	0.5	1.0
YBR160W (pd) YOR127W	0.5	1.0
YBR160W (pd) YOR188W	0.5	1.0
YBR160W (pd) YOR195W	0.5	0.0
YBR160W (pd) YOR315W	0.5	1.0
YBR160W (pd) YOR372C	0.5	1.0
YBR160W (pd) YOR373W	0.5	1.0
YBR160W (pd) YPL115C	0.5	1.0
YBR160W (pd) YPL124W	0.5	1.0
YBR160W (pd) YPL127C	0.5	0.0
YBR160W (pd) YPL150W	0.5	1.0
YBR160W (pd) YPL153C	0.5	1.0
YBR160W (pd) YPL155C	0.5	1.0
YBR160W (pd) YPL194W	0.5	0.0
YBR160W (pd) YPL209C	0.5	1.0
YBR160W (pd) YPL255W	0.5	1.0
YBR160W (pd) YPL267W	0.5	1.0
YBR160W (pd) YPL269W	0.5	1.0
YBR160W (pd) YPR018W	0.5	1.0
YBR160W (pd) YPR111W	0.5	1.0
YBR160W (pd) YPR141C	0.5	1.0
YBR160W (pd) YPR160W	0.5	1.0
YBR160W (pd) YPR171W	0.5	1.0
YBR160W (pd) YPR174C	0.5	1.0
YCL032W (pp) YER118C	0.5	0.0
YCL032W (pd) YJL128C	0.5	0.0
YCL032W (pd) YLR006C	0.5	0.0
YCL032W (pd) YNR031C	0.5	1.0
YCL032W (pp) YPR075C	0.5	0.0
YDL003W (pd) YGL190C	0.5	1.0
YDL013W (pd) YDR397C	0.5	1.0
YDL013W (pd) YDR510W	0.5	0.0
YDL028C (pd) YAL047C	0.5	0.0
YDL028C (pd) YDR356W	0.5	0.0
YDL028C (pd) YGL086W	0.5	1.0
YDL028C (pd) YGL093W	0.5	1.0
YDL028C (pd) YIL106W	0.5	0.0
YDL028C (pd) YIL144W	0.5	0.0
YDL028C (pd) YJL084C	0.5	0.0
YDL028C (pd) YKL042W	0.5	0.0
YDL028C (pd) YNL116W	0.5	1.0
YDL028C (pd) YPL124W	0.5	0.0
YDL108W (pd) YDL140C	0.5	1.0
YDL108W (pd) YDL166C	0.5	1.0
YDL108W (pd) YLR071C	0.5	1.0
YDL108W (pd) YOR174W	0.5	1.0
YDL117W (pp) YER118C	0.5	1.0
YDL225W (pd) YDR510W	0.5	0.0
YDR054C (pd) YGR140W	0.5	0.0
YDR054C (pd) YJL157C	0.5	0.0
YDR054C (pd) YNL103W	0.5	1.0
YDR227W (pd) YBR009C	0.5	0.0
YDR264C (pd) YKR007W	0.5	1.0
YDR388W (pp) YIL147C	0.5	1.0
YDR420W (pp) YER118C	0.5	1.0
YDR420W (pp) YHR154W	0.5	1.0
YDR420W (pp) YOR153W	0.5	1.0
YDR477W (pd) YAR014C	0.5	0.0
YDR477W (pd) YBR118W	0.5	0.0
YDR477W (pd) YBR130C	0.5	1.0
YDR477W (pd) YDL025C	0.5	0.0
YDR477W (pd) YDL051W	0.5	1.0
YDR477W (pd) YDL070W	0.5	0.0
YDR477W (pd) YDL220C	0.5	0.0
YDR477W (pd) YDL225W	0.5	0.0
YDR477W (pd) YDR293C	0.5	0.0
YDR477W (pd) YDR422C	0.5	1.0
YDR477W (pd) YER027C	0.5	0.0
YDR477W (pd) YER028C	0.5	1.0
YDR477W (pd) YER040W	0.5	1.0
YDR477W (pd) YER122C	0.5	0.0
YDR477W (pd) YER125W	0.5	0.0
YDR477W (pd) YFR010W	0.5	0.0
YDR477W (pd) YGL023C	0.5	0.0
YDR477W (pd) YGL035C	0.5	0.0
YDR477W (pd) YGL073W	0.5	0.0
YDR477W (pd) YGL253W	0.5	1.0
YDR477W (pd) YHR073W	0.5	0.0
YDR477W (pd) YHR103W	0.5	1.0
YDR477W (pd) YHR117W	0.5	1.0
YDR477W (pd) YHR133C	0.5	0.0
YDR477W (pd) YHR205W	0.5	1.0
YDR477W (pd) YIL044C	0.5	0.0
YDR477W (pd) YIL107C	0.5	1.0
YDR477W (pd) YIL112W	0.5	0.0
YDR477W (pd) YJL033W	0.5	0.0
YDR477W (pd) YJL080C	0.5	1.0
YDR477W (pd) YJL084C	0.5	0.0
YDR477W (pd) YJL110C	0.5	1.0
YDR477W (pd) YKL079W	0.5	1.0
YDR477W (pd) YKL121W	0.5	1.0
YDR477W (pd) YKR022C	0.5	1.0
YDR477W (pd) YKR071C	0.5	0.0
YDR477W (pd) YLR150W	0.5	0.0
YDR477W (pd) YLR192C	0.5	0.0
YDR477W (pd) YML062C	0.5	0.0
YDR477W (pd) YML111W	0.5	0.0
YDR477W (pd) YMR037C	0.5	0.0
YDR477W (pd) YMR102C	0.5	0.0
YDR477W (pd) YMR165C	0.5	0.0
YDR477W (pd) YMR205C	0.5	1.0
YDR477W (pd) YNL227C	0.5	1.0
YDR477W (pd) YNL272C	0.5	0.0
YDR477W (pd) YNR013C	0.5	0.0
YDR477W (pd) YNR016C	0.5	1.0
YDR477W (pd) YOL059W	0.5	1.0
YDR477W (pd) YOR018W	0.5	1.0
YDR477W (pd) YOR054C	0.5	1.0
YDR477W (pd) YOR123C	0.5	0.0
YDR477W (pd) YOR198C	0.5	1.0
YDR477W (pd) YOR216C	0.5	1.0
YDR477W (pd) YOR340C	0.5	0.0
YDR477W (pd) YPL146C	0.5	0.0
YDR477W (pd) YPR115W	0.5	1.0
YDR477W (pd) YPR143W	0.5	0.0
YDR477W (pd) YPR156C	0.5	1.0
YDR477W (pd) YPR171W	0.5	0.0
YDR507C (pd) YCL032W	0.5	1.0
YDR507C (pd) YDL225W	0.5	0.0
YDR507C (pd) YMR086W	0.5	1.0
YDR510W (pd) YGR140W	0.5	1.0
YDR510W (pd) YNL088W	0.5	1.0
YER089C (pd) YLR113W	0.5	0.0
YER116C (pd) YDR510W	0.5	0.0
YER118C (pp) YGR014W	0.5	0.0
YER118C (pp) YJL128C	0.5	0.0
YER118C (pp) YLR362W	0.5	0.0
YER118C (pp) YLR452C	0.5	1.0
YER118C (pp) YMR032W	0.5	0.0
YER118C (pp) YNL152W	0.5	0.0
YER118C (pp) YOR181W	0.5	0.0
YER118C (pp) YOR188W	0.5	0.0
YER118C (pp) YOR208W	0.5	1.0
YER118C (pp) YPR032W	0.5	0.0
YER125W (pd) YBL101C	0.5	1.0
YER125W (pd) YBR290W	0.5	1.0
YER125W (pd) YDL140C	0.5	0.0
YER125W (pd) YDR388W	0.5	1.0
YER125W (pd) YDR432W	0.5	1.0
YER125W (pd) YFL001W	0.5	0.0
YER125W (pd) YGR068C	0.5	1.0
YER125W (pd) YGR136W	0.5	1.0
YER125W (pd) YHL024W	0.5	0.0
YER125W (pd) YHR131C	0.5	0.0
YER125W (pd) YIR033W	0.5	1.0
YER125W (pd) YJL084C	0.5	0.0
YER125W (pd) YKR021W	0.5	1.0
YER125W (pd) YML111W	0.5	1.0
YER125W (pd) YMR275C	0.5	1.0
YER125W (pd) YNL271C	0.5	0.0
YER125W (pd) YOR018W	0.5	0.0
