Edge	Weight	FractionOfOptimalForestsContaining
YHR030C (pd) YER111C	0.5	0.0
YHR030C (pd) YGL122C	0.5	1.0
YHR030C (pd) YLR182W	0.5	0.0
YHR030C (pd) YLR371W	0.5	1.0
YHR030C (pd) YLR442C	0.5	1.0
YHR030C (pd) YNL053W	0.5	1.0
YHR030C (pd) YOR208W	0.5	0.0
YHR030C (pd) YPL089C	0.5	1.0
YHR082C (pd) YAL013W	0.5	1.0
YHR082C (pd) YBL067C	0.5	1.0
YHR082C (pd) YBR086C	0.5	0.0
YHR082C (pd) YBR108W	0.5	0.0
YHR082C (pd) YBR118W	0.5	1.0
YHR082C (pd) YBR121C	0.5	1.0
YHR082C (pd) YBR130C	0.5	0.0
YHR082C (pd) YBR151W	0.5	1.0
YHR082C (pd) YBR200W	0.5	0.0
YHR082C (pd) YBR212W	0.5	1.0
YHR082C (pd) YBR225W	0.5	1.0
YHR082C (pd) YBR247C	0.5	1.0
YHR082C (pd) YCR073WA	0.5	0.0
YHR082C (pd) YDL013W	0.5	0.0
YHR082C (pd) YDL019C	0.5	0.0
YHR082C (pd) YDL025C	0.5	0.0
YHR082C (pd) YDL035C	0.5	1.0
YHR082C (pd) YDL051W	0.5	0.0
YHR082C (pd) YDL070W	0.5	0.0
YHR082C (pd) YDL131W	0.5	1.0
YHR082C (pd) YDL149W	0.5	0.0
YHR082C (pd) YDL166C	0.5	0.0
YHR082C (pd) YDL173W	0.5	1.0
YHR082C (pd) YDL201W	0.5	1.0
YHR082C (pd) YDL220C	0.5	0.0
YHR082C (pd) YDR074W	0.5	1.0
YHR082C (pd) YDR226W	0.5	0.0
YHR082C (pd) YDR266C	0.5	0.0
YHR082C (pd) YDR330W	0.5	0.0
YHR082C (pd) YDR480W	0.5	0.0
YHR082C (pd) YER122C	0.5	0.0
YHR082C (pd) YER133W	0.5	1.0
YHR082C (pd) YHL024W	0.5	0.0
YHR082C (pd) YHR030C	0.5	0.0
YHR082C (pd) YIL078W	0.5	1.0
YHR082C (pd) YIL135C	0.5	0.0
YHR082C (pd) YKL051W	0.5	0.0
YHR082C (pd) YKL146W	0.5	1.0
YHR082C (pd) YKL168C	0.5	0.0
YHR082C (pd) YLR131C	0.5	0.0
YHR082C (pd) YLR220W	0.5	1.0
YHR082C (pd) YLR221C	0.5	0.0
YHR082C (pd) YLR249W	0.5	1.0
YHR082C (pd) YLR257W	0.5	0.0
YHR082C (pd) YML035C	0.5	0.0
YHR082C (pd) YMR021C	0.5	1.0
YHR082C (pd) YMR102C	0.5	1.0
YHR082C (pd) YMR111C	0.5	0.0
YHR082C (pd) YMR155W	0.5	0.0
YHR082C (pd) YMR165C	0.5	0.0
YHR082C (pd) YMR285C	0.5	0.0
YHR082C (pd) YMR291W	0.5	0.0
YHR082C (pd) YMR295C	0.5	0.0
YHR082C (pd) YNL027W	0.5	0.0
YHR082C (pd) YNL065W	0.5	1.0
YHR082C (pd) YNL136W	0.5	0.0
YHR082C (pd) YNL155W	0.5	1.0
YHR082C (pd) YNL189W	0.5	1.0
YHR082C (pd) YNL272C	0.5	0.0
YHR082C (pd) YNL293W	0.5	0.0
YHR082C (pd) YNR047W	0.5	0.0
YHR082C (pd) YOR123C	0.5	0.0
YHR082C (pd) YOR181W	0.5	0.0
YHR082C (pd) YOR208W	0.5	0.0
YHR082C (pd) YOR211C	0.5	1.0
YHR082C (pd) YPL150W	0.5	0.0
YHR082C (pd) YPL217C	0.5	0.0
YHR082C (pd) YPR032W	0.5	0.0
YHR082C (pd) YPR091C	0.5	0.0
YHR205W (pd) YDR005C	0.5	1.0
YHR205W (pd) YDR054C	0.5	1.0
YHR205W (pd) YDR169C	0.5	0.0
YHR205W (pd) YFL033C	0.5	1.0
YHR205W (pd) YNL167C	0.5	0.0
YIL031W (pd) YDR510W	0.5	1.0
YIL106W (pd) YMR032W	0.5	0.0
YIL147C (pd) YLR006C	0.5	0.0
YJL095W (pd) YBL007C	0.5	0.0
YJL095W (pd) YBR108W	0.5	0.0
YJL095W (pd) YBR225W	0.5	0.0
YJL095W (pd) YDL019C	0.5	0.0
YJL095W (pd) YDL025C	0.5	1.0
YJL095W (pd) YDL070W	0.5	0.0
YJL095W (pd) YDL220C	0.5	0.0
YJL095W (pd) YDL223C	0.5	1.0
YJL095W (pd) YDR226W	0.5	0.0
YJL095W (pd) YER122C	0.5	0.0
YJL095W (pd) YHR114W	0.5	1.0
YJL095W (pd) YJL141C	0.5	1.0
YJL095W (pd) YJR092W	0.5	1.0
YJL095W (pd) YKL168C	0.5	0.0
YJL095W (pd) YLR429W	0.5	1.0
YJL095W (pd) YMR111C	0.5	1.0
YJL095W (pd) YMR155W	0.5	0.0
YJL095W (pd) YMR295C	0.5	1.0
YJL095W (pd) YNL077W	0.5	1.0
YJL095W (pd) YNL136W	0.5	0.0
YJL095W (pd) YNL155W	0.5	0.0
YJL095W (pd) YNL272C	0.5	0.0
YJL095W (pd) YNL293W	0.5	0.0
YJL095W (pd) YPL191C	0.5	1.0
YJL095W (pd) YPL217C	0.5	0.0
YJL095W (pd) YPR032W	0.5	0.0
YJL106W (pd) YBL007C	0.5	0.0
YJL106W (pd) YBR086C	0.5	0.0
YJL106W (pd) YBR108W	0.5	0.0
YJL106W (pd) YBR118W	0.5	0.0
YJL106W (pd) YBR130C	0.5	0.0
YJL106W (pd) YDL070W	0.5	0.0
YJL106W (pd) YDL220C	0.5	0.0
YJL106W (pd) YDR310C	0.5	1.0
YJL106W (pd) YER020W	0.5	1.0
YJL106W (pd) YGR126W	0.5	1.0
YJL106W (pd) YGR130C	0.5	1.0
YJL106W (pd) YGR240C	0.5	1.0
YJL106W (pd) YHL024W	0.5	0.0
YJL106W (pd) YIL135C	0.5	0.0
YJL106W (pd) YKL168C	0.5	0.0
YJL106W (pd) YKR100C	0.5	1.0
YJL106W (pd) YLR221C	0.5	1.0
YJL106W (pd) YLR457C	0.5	0.0
YJL106W (pd) YMR165C	0.5	0.0
YJL106W (pd) YNL027W	0.5	0.0
YJL106W (pd) YNL074C	0.5	1.0
YJL106W (pd) YNL116W	0.5	0.0
YJL106W (pd) YNL272C	0.5	1.0
YJL106W (pd) YNL312W	0.5	1.0
YJL106W (pd) YOR239W	0.5	0.0
YJL106W (pd) YPL150W	0.5	0.0
YJL106W (pd) YPR032W	0.5	0.0
YJL123C (pp) YPR075C	0.5	1.0
YJL128C (pd) YIL033C	0.5	0.0
YJL128C (pd) YJR059W	0.5	0.0
YJL128C (pd) YKL038W	0.5	1.0
YJL128C (pd) YLR113W	0.5	0.0
YJL141C (pd) YBL066C	0.5	1.0
YJL141C (pd) YGL073W	0.5	0.0
YJL141C (pd) YIL033C	0.5	0.0
YJL141C (pd) YLR223C	0.5	0.0
YJL141C (pd) YMR037C	0.5	0.0
YJL187C (pd) YAR014C	0.5	1.0
YJL187C (pd) YBL047C	0.5	1.0
YJL187C (pd) YCL029C	0.5	1.0
YJL187C (pd) YDL070W	0.5	0.0
YJL187C (pd) YDL115C	0.5	1.0
YJL187C (pd) YDR145W	0.5	1.0
YJL187C (pd) YDR229W	0.5	1.0
YJL187C (pd) YDR328C	0.5	1.0
YJL187C (pd) YDR330W	0.5	0.0
YJL187C (pd) YDR443C	0.5	1.0
YJL187C (pd) YER027C	0.5	0.0
YJL187C (pd) YER079W	0.5	0.0
YJL187C (pd) YER116C	0.5	1.0
YJL187C (pd) YER122C	0.5	0.0
YJL187C (pd) YFR029W	0.5	1.0
YJL187C (pd) YGL056C	0.5	1.0
YJL187C (pd) YGL209W	0.5	0.0
YJL187C (pd) YGR100W	0.5	1.0
YJL187C (pd) YGR159C	0.5	0.0
YJL187C (pd) YGR167W	0.5	1.0
YJL187C (pd) YGR240C	0.5	0.0
YJL187C (pd) YHL024W	0.5	0.0
YJL187C (pd) YHR090C	0.5	0.0
YJL187C (pd) YHR133C	0.5	1.0
YJL187C (pd) YHR182W	0.5	0.0
YJL187C (pd) YIL091C	0.5	0.0
YJL187C (pd) YIL107C	0.5	0.0
YJL187C (pd) YIR003W	0.5	1.0
YJL187C (pd) YJL084C	0.5	0.0
YJL187C (pd) YJR092W	0.5	0.0
YJL187C (pd) YKL042W	0.5	0.0
YJL187C (pd) YKL051W	0.5	1.0
YJL187C (pd) YKL121W	0.5	0.0
YJL187C (pd) YKR071C	0.5	0.0
YJL187C (pd) YKR079C	0.5	1.0
YJL187C (pd) YKR092C	0.5	0.0
YJL187C (pd) YLL022C	0.5	1.0
YJL187C (pd) YLL028W	0.5	1.0
YJL187C (pd) YLL043W	0.5	0.0
YJL187C (pd) YLR055C	0.5	1.0
YJL187C (pd) YLR309C	0.5	1.0
YJL187C (pd) YLR350W	0.5	1.0
YJL187C (pd) YMR001C	0.5	0.0
YJL187C (pd) YMR039C	0.5	1.0
YJL187C (pd) YMR049C	0.5	1.0
YJL187C (pd) YMR165C	0.5	0.0
YJL187C (pd) YMR173W	0.5	0.0
YJL187C (pd) YMR186W	0.5	1.0
YJL187C (pd) YMR205C	0.5	0.0
YJL187C (pd) YNL027W	0.5	0.0
YJL187C (pd) YNL192W	0.5	1.0
YJL187C (pd) YNL206C	0.5	1.0
YJL187C (pd) YNL212W	0.5	1.0
YJL187C (pd) YNL227C	0.5	0.0
YJL187C (pd) YNL272C	0.5	0.0
YJL187C (pd) YNL277W	0.5	1.0
YJL187C (pd) YOR123C	0.5	0.0
YJL187C (pd) YOR239W	0.5	0.0
YJL187C (pd) YOR254C	0.5	1.0
YJL187C (pd) YOR340C	0.5	1.0
YJL187C (pd) YPL181W	0.5	0.0
YJR059W (pd) YAL038W	0.5	1.0
YJR059W (pd) YBL058W	0.5	0.0
YJR059W (pd) YBR028C	0.5	1.0
YJR059W (pd) YBR059C	0.5	0.0
YJR059W (pd) YBR108W	0.5	0.0
YJR059W (pd) YBR157C	0.5	1.0
YJR059W (pd) YBR270C	0.5	0.0
YJR059W (pd) YCR023C	0.5	1.0
YJR059W (pd) YCR073WA	0.5	0.0
YJR059W (pd) YDL070W	0.5	0.0
YJR059W (pd) YDL102W	0.5	1.0
YJR059W (pd) YDL117W	0.5	0.0
YJR059W (pd) YDL126C	0.5	1.0
YJR059W (pd) YDL223C	0.5	0.0
YJR059W (pd) YDR001C	0.5	0.0
YJR059W (pd) YDR137W	0.5	1.0
YJR059W (pd) YDR153C	0.5	0.0
YJR059W (pd) YDR169C	0.5	0.0
YJR059W (pd) YDR207C	0.5	1.0
YJR059W (pd) YDR208W	0.5	0.0
YJR059W (pd) YDR229W	0.5	0.0
YJR059W (pd) YDR251W	0.5	0.0
YJR059W (pd) YDR293C	0.5	0.0
YJR059W (pd) YDR505C	0.5	1.0
YJR059W (pd) YEL032W	0.5	0.0
YJR059W (pd) YER122C	0.5	0.0
YJR059W (pd) YER125W	0.5	0.0
YJR059W (pd) YFR017C	0.5	0.0
YJR059W (pd) YGL008C	0.5	1.0
YJR059W (pd) YGL014W	0.5	1.0
YJR059W (pd) YGR008C	0.5	1.0
YJR059W (pd) YGR100W	0.5	0.0
YJR059W (pd) YGR159C	0.5	0.0
YJR059W (pd) YGR241C	0.5	1.0
YJR059W (pd) YGR253C	0.5	1.0
YJR059W (pd) YHL034C	0.5	1.0
YJR059W (pd) YHR117W	0.5	0.0
YJR059W (pd) YHR158C	0.5	0.0
YJR059W (pd) YIL107C	0.5	0.0
YJR059W (pd) YIL112W	0.5	0.0
YJR059W (pd) YIL135C	0.5	0.0
YJR059W (pd) YIL144W	0.5	0.0
YJR059W (pd) YJL020C	0.5	0.0
YJR059W (pd) YJL051W	0.5	0.0
YJR059W (pd) YJL070C	0.5	1.0
YJR059W (pd) YJL084C	0.5	0.0
YJR059W (pd) YJL123C	0.5	0.0
YJR059W (pd) YJL136C	0.5	0.0
YJR059W (pd) YJL141C	0.5	0.0
YJR059W (pd) YJL146W	0.5	1.0
YJR059W (pd) YJR001W	0.5	0.0
YJR059W (pd) YJR049C	0.5	1.0
YJR059W (pd) YKL042W	0.5	0.0
YJR059W (pd) YKL062W	0.5	1.0
YJR059W (pd) YKL064W	0.5	0.0
YJR059W (pd) YKL116C	0.5	0.0
YJR059W (pd) YKL121W	0.5	0.0
YJR059W (pd) YKL127W	0.5	0.0
YJR059W (pd) YKL140W	0.5	1.0
YJR059W (pd) YKL146W	0.5	0.0
YJR059W (pd) YKL166C	0.5	1.0
YJR059W (pd) YKL168C	0.5	0.0
YJR059W (pd) YKR021W	0.5	0.0
YJR059W (pd) YKR022C	0.5	0.0
YJR059W (pd) YKR090W	0.5	0.0
YJR059W (pd) YKR092C	0.5	0.0
YJR059W (pd) YKR100C	0.5	0.0
YJR059W (pd) YLL029W	0.5	1.0
YJR059W (pd) YLL038C	0.5	1.0
YJR059W (pd) YLL043W	0.5	0.0
YJR059W (pd) YLR003C	0.5	0.0
YJR059W (pd) YLR133W	0.5	0.0
YJR059W (pd) YLR257W	0.5	0.0
YJR059W (pd) YLR258W	0.5	1.0
YJR059W (pd) YLR319C	0.5	0.0
YJR059W (pd) YLR350W	0.5	0.0
YJR059W (pd) YLR410W	0.5	0.0
YJR059W (pd) YML031W	0.5	1.0
YJR059W (pd) YML118W	0.5	1.0
YJR059W (pd) YMR068W	0.5	0.0
YJR059W (pd) YMR102C	0.5	0.0
YJR059W (pd) YMR140W	0.5	1.0
YJR059W (pd) YMR165C	0.5	0.0
YJR059W (pd) YMR196W	0.5	0.0
YJR059W (pd) YMR285C	0.5	0.0
YJR059W (pd) YNL047C	0.5	1.0
YJR059W (pd) YNL074C	0.5	0.0
YJR059W (pd) YNL077W	0.5	0.0
YJR059W (pd) YNL101W	0.5	0.0
YJR059W (pd) YNL167C	0.5	0.0
YJR059W (pd) YNL293W	0.5	0.0
YJR059W (pd) YNR013C	0.5	1.0
YJR059W (pd) YNR039C	0.5	0.0
YJR059W (pd) YNR047W	0.5	0.0
YJR059W (pd) YOL082W	0.5	0.0
YJR059W (pd) YOL130W	0.5	0.0
YJR059W (pd) YOR028C	0.5	0.0
YJR059W (pd) YOR070C	0.5	1.0
YJR059W (pd) YOR083W	0.5	0.0
YJR059W (pd) YOR113W	0.5	0.0
YJR059W (pd) YOR209C	0.5	1.0
YJR059W (pd) YOR276W	0.5	1.0
YJR059W (pd) YPL019C	0.5	1.0
YJR059W (pd) YPL077C	0.5	1.0
YJR059W (pd) YPR040W	0.5	1.0
YJR059W (pd) YPR074C	0.5	1.0
YJR059W (pd) YPR091C	0.5	0.0
YJR059W (pd) YPR115W	0.5	0.0
YJR059W (pd) YPR160W	0.5	0.0
YJR076C (pd) YDR510W	0.5	0.0
YKL048C (pd) YCL024W	0.5	1.0
YKL048C (pd) YDR477W	0.5	1.0
YKL048C (pd) YDR507C	0.5	0.0
YKL048C (pd) YGL035C	0.5	0.0
YKL048C (pd) YIL033C	0.5	0.0
YKL048C (pd) YJR053W	0.5	0.0
YKL048C (pd) YOR233W	0.5	1.0
YKL101W (pd) YBR118W	0.5	0.0
YKL101W (pd) YBR130C	0.5	0.0
YKL101W (pd) YBR133C	0.5	1.0
YKL101W (pd) YDL013W	0.5	0.0
YKL101W (pd) YDL223C	0.5	0.0
YKL101W (pd) YDR398W	0.5	1.0
YKL101W (pd) YER122C	0.5	0.0
YKL101W (pd) YHL009C	0.5	0.0
YKL101W (pd) YIL038C	0.5	1.0
YKL101W (pd) YIL078W	0.5	0.0
YKL101W (pd) YJR089W	0.5	1.0
YKL101W (pd) YKL152C	0.5	1.0
YKL101W (pd) YKR048C	0.5	0.0
YKL101W (pd) YKR071C	0.5	0.0
YKL101W (pd) YLL024C	0.5	1.0
YKL101W (pd) YML035C	0.5	0.0
YKL101W (pd) YMR155W	0.5	0.0
YKL101W (pd) YMR165C	0.5	0.0
YKL101W (pd) YMR285C	0.5	1.0
YKL101W (pd) YNL077W	0.5	0.0
YKL101W (pd) YNL136W	0.5	1.0
YKL101W (pd) YNL272C	0.5	0.0
YKL101W (pd) YOR239W	0.5	0.0
YKL101W (pd) YPR072W	0.5	0.0
YKL116C (pd) YDL013W	0.5	1.0
YKL116C (pd) YDR480W	0.5	1.0
YKL116C (pd) YJR001W	0.5	1.0
YKL116C (pd) YLR015W	0.5	1.0
YKL116C (pd) YLR257W	0.5	0.0
YKL116C (pd) YML073C	0.5	1.0
YKL116C (pd) YNL272C	0.5	0.0
YKL116C (pd) YOL086C	0.5	1.0
YKL139W (pd) YDL140C	0.5	0.0
YKL166C (pd) YBR059C	0.5	1.0
YKL166C (pd) YDL081C	0.5	1.0
YKL166C (pd) YDR158W	0.5	1.0
YKL166C (pd) YDR172W	0.5	1.0
YKL166C (pd) YDR379W	0.5	0.0
YKL166C (pd) YDR443C	0.5	0.0
YKL166C (pd) YFR014C	0.5	1.0
YKL166C (pd) YFR017C	0.5	1.0
YKL166C (pd) YGL075C	0.5	0.0
YKL166C (pd) YGL180W	0.5	1.0
YKL166C (pd) YGR285C	0.5	1.0
YKL166C (pd) YHR082C	0.5	1.0
YKL166C (pd) YHR158C	0.5	0.0
YKL166C (pd) YHR182W	0.5	1.0
YKL166C (pd) YIL033C	0.5	1.0
YKL166C (pd) YJL141C	0.5	0.0
YKL166C (pd) YJR001W	0.5	0.0
YKL166C (pd) YKL038W	0.5	0.0
YKL166C (pd) YKL064W	0.5	0.0
YKL166C (pd) YKL171W	0.5	1.0
YKL166C (pd) YKR072C	0.5	1.0
YKL166C (pd) YLR044C	0.5	1.0
YKL166C (pd) YLR113W	0.5	1.0
YKL166C (pd) YLR410W	0.5	0.0
YKL166C (pd) YNL227C	0.5	0.0
YKL166C (pd) YOR028C	0.5	0.0
YKL166C (pd) YOR187W	0.5	1.0
YKL166C (pd) YPL138C	0.5	1.0
YKL166C (pd) YPL146C	0.5	0.0
YKL166C (pd) YPR185W	0.5	1.0
YKL171W (pd) YBR212W	0.5	0.0
YKL171W (pd) YFL014W	0.5	1.0
YKL171W (pd) YHR131C	0.5	0.0
YKL171W (pd) YIL084C	0.5	1.0
YKL171W (pd) YLR455W	0.5	0.0
YKL171W (pd) YNL027W	0.5	0.0
YKL171W (pd) YNL167C	0.5	0.0
YKL171W (pd) YOL006C	0.5	1.0
YKL171W (pd) YPR160W	0.5	0.0
YLR096W (pd) YER079W	0.5	1.0
YLR096W (pd) YER122C	0.5	0.0
YLR096W (pd) YGL035C	0.5	0.0
YLR096W (pd) YGR009C	0.5	1.0
YLR096W (pd) YIL044C	0.5	1.0
YLR096W (pd) YIL063C	0.5	1.0
YLR096W (pd) YIL135C	0.5	1.0
YLR096W (pd) YKR090W	0.5	0.0
YLR096W (pd) YKR100C	0.5	0.0
YLR096W (pd) YLR257W	0.5	1.0
YLR096W (pd) YNL054W	0.5	1.0
YLR096W (pd) YNR039C	0.5	1.0
YLR096W (pd) YOL082W	0.5	1.0
YLR096W (pd) YPL106C	0.5	1.0
YLR102C (pd) YDR451C	0.5	0.0
YLR113W (pd) YBL103C	0.5	1.0
YLR113W (pd) YCL032W	0.5	0.0
YLR113W (pd) YCL061C	0.5	1.0
YLR113W (pd) YDL140C	0.5	0.0
YLR113W (pd) YER118C	0.5	0.0
YLR113W (pd) YER151C	0.5	1.0
YLR113W (pd) YIR006C	0.5	1.0
YLR113W (pd) YKL101W	0.5	0.0
YLR113W (pd) YLL043W	0.5	1.0
YLR113W (pd) YLR138W	0.5	1.0
YLR113W (pd) YLR248W	0.5	1.0
YLR113W (pd) YMR037C	0.5	1.0
YLR113W (pd) YMR172W	0.5	1.0
YLR113W (pd) YNL167C	0.5	1.0
YLR113W (pd) YOR208W	0.5	0.0
YLR248W (pd) YBL007C	0.5	0.0
YLR248W (pd) YBR108W	0.5	0.0
YLR248W (pd) YDR169C	0.5	0.0
YLR248W (pd) YDR385W	0.5	1.0
YLR248W (pd) YER122C	0.5	0.0
YLR248W (pd) YHR031C	0.5	1.0
YLR248W (pd) YHR131C	0.5	0.0
YLR248W (pd) YIL135C	0.5	0.0
YLR248W (pd) YJL051W	0.5	0.0
YLR248W (pd) YJL128C	0.5	0.0
YLR248W (pd) YKL168C	0.5	0.0
YLR248W (pd) YLR257W	0.5	0.0
YLR248W (pd) YNL074C	0.5	0.0
YLR248W (pd) YNL267W	0.5	0.0
YLR248W (pd) YNL272C	0.5	0.0
YLR248W (pd) YNR047W	0.5	0.0
YLR248W (pd) YOR018W	0.5	0.0
YLR248W (pd) YPL150W	0.5	0.0
YLR248W (pd) YPR091C	0.5	0.0
YLR248W (pd) YPR160W	0.5	0.0
YLR314C (pd) YDR510W	0.5	0.0
YLR362W (pd) YCL032W	0.5	0.0
YLR362W (pd) YJL128C	0.5	0.0
YLR362W (pd) YJR059W	0.5	0.0
YLR442C (pd) YBR009C	0.5	1.0
YMR001C (pd) YAL047C	0.5	1.0
YMR001C (pd) YBL097W	0.5	1.0
YMR001C (pd) YBR098W	0.5	1.0
YMR001C (pd) YDL003W	0.5	1.0
YMR001C (pd) YDR052C	0.5	1.0
YMR001C (pd) YDR325W	0.5	1.0
YMR001C (pd) YDR386W	0.5	1.0
YMR001C (pd) YFR028C	0.5	1.0
YMR001C (pd) YGL003C	0.5	1.0
YMR001C (pd) YGR092W	0.5	0.0
YMR001C (pd) YIL031W	0.5	0.0
YMR001C (pd) YJL051W	0.5	0.0
YMR001C (pd) YJL076W	0.5	1.0
YMR001C (pd) YJR053W	0.5	1.0
YMR001C (pd) YLR045C	0.5	1.0
YMR001C (pd) YLR102C	0.5	0.0
YMR001C (pd) YLR272C	0.5	1.0
YMR001C (pd) YMR032W	0.5	1.0
YMR001C (pd) YMR036C	0.5	0.0
YMR001C (pd) YNL068C	0.5	1.0
YMR001C (pd) YNL102W	0.5	1.0
YMR001C (pd) YOR195W	0.5	1.0
YMR001C (pd) YOR372C	0.5	0.0
YMR001C (pd) YOR373W	0.5	0.0
YMR001C (pd) YPL150W	0.5	0.0
YMR001C (pd) YPL153C	0.5	0.0
YMR001C (pd) YPR115W	0.5	0.0
YMR291W (pd) YJR059W	0.5	0.0
YNL225C (pd) YBR160W	0.5	0.0
YNL289W (pd) YHR042W	0.5	0.0
YNL289W (pd) YJR072C	0.5	0.0
YNL298W (pd) YAL041W	0.5	0.0
YNL298W (pd) YAL043C	0.5	1.0
YNL298W (pd) YCR002C	0.5	1.0
YNL298W (pd) YDL070W	0.5	0.0
YNL298W (pd) YDL149W	0.5	0.0
YNL298W (pd) YHR107C	0.5	1.0
YNL298W (pd) YIL041W	0.5	1.0
YNL298W (pd) YJL187C	0.5	1.0
YNL298W (pd) YJR076C	0.5	1.0
YNL298W (pd) YKL104C	0.5	1.0
YNL298W (pd) YKL129C	0.5	0.0
YNL298W (pd) YLR314C	0.5	0.0
YNL298W (pd) YLR362W	0.5	0.0
YNL298W (pd) YPR115W	0.5	0.0
YNR031C (pd) YJL128C	0.5	1.0
YOL100W (pd) YGR086C	0.5	1.0
YOL100W (pd) YPL004C	0.5	1.0
YOR208W (pd) YBR160W	0.5	1.0
YOR233W (pd) YBR086C	0.5	0.0
YOR233W (pd) YBR109C	0.5	1.0
YOR233W (pd) YDR002W	0.5	1.0
YOR233W (pd) YDR264C	0.5	1.0
YOR233W (pd) YJR053W	0.5	0.0
YOR233W (pd) YMR068W	0.5	1.0
YOR233W (pd) YMR165C	0.5	0.0
YOR233W (pd) YNL272C	0.5	0.0
YPL031C (pd) YBL032W	0.5	0.0
YPL031C (pd) YBL047C	0.5	0.0
YPL031C (pd) YBL058W	0.5	1.0
YPL031C (pd) YBL086C	0.5	1.0
YPL031C (pd) YBR042C	0.5	0.0
YPL031C (pd) YBR109C	0.5	0.0
YPL031C (pd) YBR118W	0.5	0.0
YPL031C (pd) YBR130C	0.5	0.0
YPL031C (pd) YBR133C	0.5	0.0
YPL031C (pd) YBR151W	0.5	0.0
YPL031C (pd) YBR188C	0.5	1.0
YPL031C (pd) YBR287W	0.5	1.0
YPL031C (pd) YCL014W	0.5	0.0
YPL031C (pd) YDL051W	0.5	0.0
YPL031C (pd) YDL070W	0.5	0.0
YPL031C (pd) YDL131W	0.5	0.0
YPL031C (pd) YDL173W	0.5	0.0
YPL031C (pd) YDL201W	0.5	0.0
YPL031C (pd) YDL225W	0.5	0.0
YPL031C (pd) YDR146C	0.5	0.0
YPL031C (pd) YDR169C	0.5	0.0
YPL031C (pd) YDR229W	0.5	0.0
YPL031C (pd) YDR293C	0.5	0.0
YPL031C (pd) YDR379W	0.5	0.0
YPL031C (pd) YDR388W	0.5	0.0
YPL031C (pd) YEL015W	0.5	1.0
YPL031C (pd) YEL017W	0.5	1.0
YPL031C (pd) YER033C	0.5	1.0
YPL031C (pd) YER048C	0.5	1.0
YPL031C (pd) YER089C	0.5	1.0
YPL031C (pd) YER116C	0.5	0.0
YPL031C (pd) YER122C	0.5	0.0
YPL031C (pd) YER125W	0.5	0.0
YPL031C (pd) YER131W	0.5	0.0
YPL031C (pd) YFL001W	0.5	0.0
YPL031C (pd) YFL034W	0.5	0.0
YPL031C (pd) YFR010W	0.5	1.0
YPL031C (pd) YFR017C	0.5	0.0
YPL031C (pd) YFR024CA	0.5	0.0
YPL031C (pd) YFR034C	0.5	1.0
YPL031C (pd) YGL014W	0.5	0.0
YPL031C (pd) YGL023C	0.5	0.0
YPL031C (pd) YGL056C	0.5	0.0
YPL031C (pd) YGL153W	0.5	1.0
YPL031C (pd) YGL180W	0.5	0.0
YPL031C (pd) YGL209W	0.5	0.0
YPL031C (pd) YGR130C	0.5	0.0
YPL031C (pd) YGR167W	0.5	0.0
YPL031C (pd) YHL009C	0.5	0.0
YPL031C (pd) YHL024W	0.5	0.0
YPL031C (pd) YHL027W	0.5	1.0
YPL031C (pd) YHL034C	0.5	0.0
YPL031C (pd) YHR009C	0.5	1.0
YPL031C (pd) YHR012W	0.5	1.0
YPL031C (pd) YHR042W	0.5	1.0
YPL031C (pd) YHR090C	0.5	0.0
YPL031C (pd) YHR174W	0.5	1.0
YPL031C (pd) YHR182W	0.5	0.0
YPL031C (pd) YHR183W	0.5	1.0
YPL031C (pd) YHR205W	0.5	0.0
YPL031C (pd) YIL033C	0.5	0.0
YPL031C (pd) YIL047C	0.5	1.0
YPL031C (pd) YIL084C	0.5	0.0
YPL031C (pd) YIL112W	0.5	0.0
YPL031C (pd) YIR003W	0.5	0.0
YPL031C (pd) YJL020C	0.5	1.0
YPL031C (pd) YJL070C	0.5	0.0
YPL031C (pd) YJL084C	0.5	0.0
YPL031C (pd) YJL146W	0.5	0.0
YPL031C (pd) YJR001W	0.5	0.0
YPL031C (pd) YJR070C	0.5	1.0
YPL031C (pd) YJR072C	0.5	0.0
YPL031C (pd) YJR076C	0.5	0.0
YPL031C (pd) YJR092W	0.5	0.0
YPL031C (pd) YKL042W	0.5	0.0
YPL031C (pd) YKL064W	0.5	0.0
YPL031C (pd) YKL116C	0.5	0.0
YPL031C (pd) YKL127W	0.5	0.0
YPL031C (pd) YKL185W	0.5	0.0
YPL031C (pd) YKR018C	0.5	1.0
YPL031C (pd) YKR021W	0.5	0.0
YPL031C (pd) YKR048C	0.5	0.0
YPL031C (pd) YKR090W	0.5	0.0
YPL031C (pd) YLL022C	0.5	0.0
YPL031C (pd) YLL024C	0.5	0.0
YPL031C (pd) YLR003C	0.5	0.0
YPL031C (pd) YLR018C	0.5	1.0
YPL031C (pd) YLR093C	0.5	1.0
YPL031C (pd) YLR102C	0.5	0.0
YPL031C (pd) YLR146C	0.5	1.0
YPL031C (pd) YLR258W	0.5	0.0
YPL031C (pd) YLR410W	0.5	0.0
YPL031C (pd) YML016C	0.5	1.0
YPL031C (pd) YML035C	0.5	0.0
YPL031C (pd) YML062C	0.5	0.0
YPL031C (pd) YML117W	0.5	1.0
YPL031C (pd) YML119W	0.5	0.0
YPL031C (pd) YMR004W	0.5	0.0
YPL031C (pd) YMR039C	0.5	0.0
