Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	SigPeptide7	SigPeptide8	SigPeptide9	SigPeptide10	SigPeptide11	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	InsigPeptide11	InsigPeptide12	InsigPeptide13	InsigPeptide14	InsigPeptide15	InsigPeptide16	InsigPeptide17	InsigPeptide18	InsigPeptide19	InsigPeptide20	ActivitySummaryT05	ActivitySummaryT10	ActivitySummaryT15	ActivitySummaryT20	ActivitySummaryT25	ActivitySummaryT30	ActivitySummaryT35	ActivitySummaryT40	ActivitySummaryT45	ActivitySummaryT50	ActivitySummaryT55	ActivitySummaryT60	FirstActive	HeatMapBg1	HeatMapBg2	HeatMapBg3	HeatMapBg4	HeatMapBg5	HeatMapBg6	HeatMapBg7	HeatMapBg8	HeatMapBg9	HeatMapBg10	HeatMapBg11
YEL037C	Excluded	false	0, 0.0, 0.314290483988, 0.230694897122, 0.226138560569, 0.395282204132, 0.258458622718, 0.663207972481, 0.393855477339, 0.31092173523, 0.343692069179, 0.343350966201, 0.182310918026, 0.549225575452	0, 0.00532812069528, 0.00532812069528, 0.00532812069528, 0.219462838957, -0.0892059481249, -0.0892059481249, 0.187134291475, 0.0635029423062, 0.0426443374085, -2.45300432356, 0.0621217119078, 0.0799753767206, 0.0207688650946										0, 0.0, 0.0142124448121, -0.126171056078, -0.0629720560867, -0.0349730404349, 0.0173518417878, -0.116238439844, 0.00604663011841, -0.22010996066, -0.109125329122, -0.240009051297, -0.13875921474, 0.0220481651802																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YEL043W	Excluded	false	0, -0.003582327626, -0.0453123262138, -0.138965714551, -0.27377911539, -0.46741372948, -0.625845229277, -0.894134223065, -1.02209733306, -1.24985660385, -1.34215880888, -1.37665750937, -1.52562106861, -1.56592961109	0, -0.0149659707469, -0.269286145213, -0.139712537489, -0.0802709286442, -0.0138585143454, -0.265379247107, -0.23958315843, -0.569993121756, -0.203983760098, -0.134793803413, -0.329902952251, -0.354482782107, -0.354482782107	0, -0.0509357704939, -0.215563023331, -0.0546769687838, -0.39687813016, 0.102859657922, 0.111031312389, 0.210264166313, -0.175859453398, 0.216237552054, 0.216237552054, 0.251082803317, 0.373286274273, 0.236829335486									0, -0.022815343318, -0.022815343318, 0.109828565307, -0.3318627169, -0.111398957925, 0.235604532763, -0.0723158902083, -0.228029932302, -0.185014885318, 0.0333701384606, -0.354390558817, -0.152403897737, -0.173091582954	0, 0.0, 0.0, -0.152051184081, -0.118257081852, -0.0231964735104, -0.139664856388, -0.223997109428, -0.27954640791, -0.149584600046, -0.20114487043, -0.223912861018, -0.408358876739, -0.176951780511	0, 0.146264194867, 0.0663992289114, -0.0303098035268, -0.0303098035268, 0.169155358831, -0.112895901715, -0.112895901715, -0.112895901715, 0.0302654428577, 0.0247451901971, 0.20288783347, -0.134619575402, 0.302757715638	0, 0.013497991749, 0.013497991749, -0.0483077739569, -0.0483077739569, -0.24265239699, -0.0868597404633, -0.224688132025, -0.197186402468, -0.212968804271, -0.180184693633, -0.227438646525, -0.266975455945, -0.266975455945																													Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YEL046C	Excluded	false												0, 0.00216242115062, 0.0220481651802, -0.224435280483, 0.0192037339731, -0.00131345019773, -0.0168622770502, -0.0556212832044, -0.130855058194, 0.0109230271848, -0.149856678319, -0.0433188107073, 0.000288510158124, 0.00245049923482																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YEL055C	Excluded	false												0, 0.0, 0.162983392023, 0.162983392023, -0.000476167935525, 0.162338957725, 0.0194884295914, -0.00124125154987, 0.141432790929, -0.133875383551, -0.0455803218671, -0.0386582006516, 0.116897018288, 0.116897018288																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YEL061C	SigPrize	false	0, -0.0366442558595, 0.0585243118408, 0.0323830053117, -0.0354017518001, -0.0307371311965, 0.0592168165538, -0.243557362989, -0.1280459856, -0.2607221769, -0.372075710512, -0.319459592682, 0.0133550586691, -0.263542323887																															0	0	0	0	0	0	0	0	-1	0	0	0	T45	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YEL062W	Excluded	true												0, 0.248413392051, 0.0913951860117, 0.0669502439246, 0.02062665059, 0.170053235302, 0.0511632525821, 0.21063822838, 0.111031312389, 0.182946494511, 0.0219060767336, 0.0803847874146, 0.18903382439, 0.18903382439	0, 0.0939657503694, 0.133037378747, 0.143654634526, 0.153416242255, 0.210139457402, 0.188780697792, 0.200880954286, 0.251567620608, 0.085832523675, 0.178364081847, 0.0399805976909, 0.0010095332332, 0.0010095332332																															Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YEL063C	Excluded	false												0, -0.0257643957909, -0.108005405368, -0.0926478158286, -0.0930170748634, -0.107585657992, -0.112880300542, -0.0618873795573, -0.100375772717, -0.0702847362923, -0.0522964439469, -0.0369698504988, -0.107694469659, -0.0763867971384																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER002W	Excluded	false												0, 0.11156554496, 0.0582472168547, 0.0862402758207, -0.0779087398712, -0.200813201147, -0.0246192714985, 0.303576199697, 0.0999011100079, -0.0134070326941, 0.0170667241898, 0.206893236122, 0.0612923384783, 0.0487941802608																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER008C	SigPrize	true	0, 0.190804468127, 0.24586070184, 0.240497517073, 0.376401526594, 0.289244285157, 0.334110567845, -0.058277669583, 0.499475999616, 0.758132585309, 0.404576190458, 0.632547419779, 0.676628488243, 0.879470525087											0, -0.038569290841, -0.0269398271959, -0.0317986302117, 0.144568517665, -0.0284104644699, -0.0590890672361, 0.0226163790673, -0.0147619017335, -0.0526255906874, -0.0825453297151, 0.0455827600196, 0.0227583975782, 0.00288250853312	0, -0.0887456065812, -0.195120391745, 0.0384361816561, -0.0666539808521, -0.00830492754472, -0.00940812741242, -0.00788419196433, -0.108549704162, -0.124392913464, -0.200431875711, -0.000259708481825, -0.0970234507813, -0.0697546816853	0, -0.106404802122, -0.375777423331, -0.0301182839275, -0.0865226908176, -0.227134651034, -0.138663917103, -0.0311498435672, -0.112116049677, -0.142926695788, -0.278006207548, -0.262105609268, -0.137727158813, -0.143452462196	0, 0.0404015152842, 0.0567222423745, 0.0282862430791, 0.08800587129, 0.100035721162, 0.0924780872004, 0.128161400914, 0.2167342196, 0.037030730945, 0.17632277264, -0.0464293033479, -0.0464293033479, 0.0478175480214	0, 0.104605043229, -0.104774945001, 0.0589398545562, 0.0439043942956, -0.0017467179771, -0.0017467179771, 0.345396375391, 0.190172344802, 0.190172344802, 0.190172344802, -0.008232378173, 0.331475926123, 0.106080260225																0	0	1	0	0	0	1	1	0	0	0	1	T15	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER013W	Excluded	false	0, 0.0, 0.0780632557768, 0.136847604193, -0.167344885834, -0.443575489599, 0.143001506242, 0.102725310011, -0.0745321986049, -0.198559869895, -0.0120825311234, -0.084731521257, 0.0112093614203, 0.128953220386																																											Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER016W	SigPrize	false	0, 0.0543622884497, -0.136537241741, -0.136537241741, -0.410792608963, -0.534328467976, -0.511855224014, -0.690916967751, -0.690916967751, -0.91172269032, -0.804148491424, -0.844509802252, -0.844509802252, -1.02547068752	0, 0.0465609057577, 0.000721167243654, -0.0344262487592, 0.077106244106, -0.147409819094, 0.358846330605, -0.0814305778141, 0.374065718223, 0.374065718223, 0.374065718223, 0.131062616782, 0.37417703299, 0.361992885922										0, -0.0337467425583, 0.0010095332332, -0.0418477568929, -0.0217750773154, -0.00562302760225, -0.003582327626, -0.0261463059621, -0.0537781960034, -0.0114425486372, -0.0223903553146, 0.0254540964277, -0.0361855880991, -0.0415507563379	0, -0.0433188107073, 0.0735460609152, 0.0558897581963, 0.0246033671407, 0.0563060603319, -0.017504668797, 0.0657101640653, 0.0377336274465, 0.0471195485686, 0.113167056733, 0.106616328988, 0.112766845428, 0.0514417113826	0, 0.0382956981815, -0.00215121866712, -0.0120097915417, -0.00547820196761, -0.01314494688, 0.0578314745606, 0.0578314745606, 0.113433802604, 0.0458622979087, 0.103799743158, 0.111164889079, 0.146264194867, 0.148869043531	0, 0.0323830053117, -0.0420556936669, -0.0553963903677, -0.0614055627426, -0.0614055627426, -0.0614055627426, -0.147042349134, -0.147042349134, -0.164997605163, -0.208294265241, -0.267739484919, -0.356439304429, -0.27937130231																	0	0	-1	-1	1	-1	0	-1	0	0	0	-1	T15	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER018C	Excluded	false												0, -0.0611496629939, -0.0679690741527, 0.0837920324939, 0.173639163571, 0.0892269420704, -0.0140915924251, 0.200755431596, 0.193204013984, 0.0658480033661, 0.17785402526, 0.162725652846, 0.116630912036, -0.154634402552																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER020W	Excluded	false	0, 0.00934717225925, 0.44921799214, 0.44921799214, 1.49210955265, 1.61499246689, -0.0827439375626, -0.27536718913, -0.200465030444, -0.231667442614, -0.2860930745, -0.145637240632, -0.233192848697, -0.215127538257											0, -0.052042154707, -0.178453041166, -0.108052051504, -0.244291998022, -0.0843337853961, -0.0684379604438, -0.0719973860217, -0.161072429394, -0.00984383337261, -0.0479348669813, -0.0356679126005, -0.108611922816, -0.236469445278																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER023W	Excluded	false												0, -0.0158846386869, -0.171498396693, 0.000432743603971, 0.0308304301533, -0.145222356698, 0.0579700686373, -0.262676661822, 0.00863030514344, -0.0225222347462, 0.103531209878, -0.225413218817, 0.249020510286, 0.166843964412																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER025W	Excluded	false	0, 0.421371433001, 0.390117353666, 0.30076803328, 0.175045486111, 0.286999396634, 0.119289768375, 0.230571941905, 0.0497701518164, -0.0421151096789, -0.0421151096789, 0.235359447391, 0.151599082269, 0.215367972203																																											Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER026C	Excluded	false												0, -0.0319018731747, -0.0477559058646, -0.0360080784301, -0.0868597404633, -0.125651548897, -0.0777412475577, -0.101304058333, -0.031592166448, -0.0501438813181, -0.0482182674917, -0.0757176506361, -0.0813389926663, -0.0102651409183	0, -0.0370882667705, -0.0960670735233, -0.116082073868, -0.142767410456, -0.174670246653, -0.174002765651, -0.136759285106, -0.132356523894, -0.134002027398, -0.153863766411, -0.114675542205, -0.169793361526, -0.067303819668																															Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER027C	SigPrize	true	0, 0.723602245748, 0.577827591236, 0.323081789504, 0.310805431063, -0.0303982057638, 0.633849659105, 0.76034870716, 0.527070335513, 0.798340891446, 0.798340891446, 0.43776039354, 0.488515008958, 0.813360504133																															0	0	0	0	0	0	0	0	0	0	0	1	T60	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER028C	Excluded	false												0, -0.103751405027, 0.0827025893302, 0.0540843928424, 0.164786278143, 0.140647793155, 0.0330881693322, 0.0673633671196, 0.111298453403, 0.177598929328, 0.042224073763, 0.27333684715, -0.0583527798274, -0.154393534535																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YER032W	SigPrize	false	0, 0.0189189821631, 0.11875838898, -0.206212297631, -0.423584284415, 0.174789893048, -0.0199600717488, 0.0873270517975, -0.0353573964403, -0.106265027911, 0.0277202583559, 0.0277202583559, 0.148088082645, 0.0229004021101											0, 0.0163536835778, 0.0702519218204, -0.0135235305626, 0.180275189612, -0.18170568727, -0.0348400179793, 0.176195094863, 0.168000124518, -0.0616464510359, 0.105678077895, -0.258787597578, 0.152767519262, -0.42329406017	0, 0.0703893278914, 0.0703893278914, 0.00216242115062, -0.00209342591013, 0.00820001383214, 0.0538064436958, 0.310689117519, 0.157302466319, 0.0590783422013, 0.00992040959306, 0.0112093614203, -0.0437351385861, 0.223793216243	0, 0.172871500352, 0.0455827600196, 0.151988666423, 0.0164963198962, -0.0584879881223, 0.0974759590133, 0.22848009833, 0.0306892040711, 0.090311471376, 0.0972062459744, -0.0136400378392, -0.0136400378392, 0.20926619305																		0	0	-1	0	0	0	0	0	0	0	0	0	T15	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
